Time_s,Probe1_Elevation_m,Probe2_Elevation_m,Probe3_Elevation_m
640,-0.0846423600514736,1.47192108472188,2.60247485717138
640.2,-0.136760661443075,1.74062073071798,2.43974177916845
640.4,-0.175916621526083,1.91027176221212,2.1220537908872
640.6,-0.175916621526083,2.15084564526876,2.0115572698911
640.8,-0.123723933537802,2.30610000928243,1.88944308837255
641,0.0192957426706943,2.32990562756856,1.60966365416845
641.2,0.213125279108683,2.35369598706563,1.41761653502782
641.4,0.443924000422159,2.25842201550802,1.28116862853368
641.6,0.685440113703409,2.24648582776388,1.12103812774022
641.8,0.899723103205362,2.15084564526876,1.0175616033872
642,0.999978115717569,1.74062073071798,0.692911792596181
642.2,1.06244664446513,1.49645912488302,0.434901882012685
642.4,1.11231618181864,0.838932154973348,0.150450397332509
642.6,1.12476926104228,0.612091182072957,-0.10104114929835
642.8,1.13721661822001,0.42166340192159,-0.391482662359874
643,1.13721661822001,0.459845660527547,-0.709804844061534
643.2,1.11231618181864,0.510685084660848,-0.709804844061534
643.4,1.0499592329661,0.561434863408406,-0.722131084601084
643.6,0.96242528216044,0.561434863408406,-0.796173404852549
643.8,0.786488583246866,0.459845660527547,-0.746791195074717
644,0.443924000422159,0.101423381169637,-0.697494815985362
644.2,-0.0456208680470791,-0.118405224482219,-0.636004757086436
644.4,-0.517597148259481,-0.13138950030009,-0.734457325140635
644.6,-1.0246724580129,-0.183379055658976,-0.85804684082667
644.8,-1.49999613507589,0.049846766789754,-0.746791195074717
645,-1.83525271161397,0.204291461308797,-0.796173404852549
645.2,-2.05554957135518,0.306788562138875,-0.820907901922862
645.4,-2.14881605847677,0.242765544255574,-0.969771694342295
645.6,-2.11380953534444,0.0240250809987383,-0.969771694342295
645.8,-2.00902647717794,-0.105427624384562,-0.771474193731944
646,-1.85836214764913,-0.105427624384562,-0.672881435553233
646.2,-1.67401499493917,-0.405405880610148,-0.5134557000796
646.4,-1.57084841473897,-0.523636700312297,-0.403652500311534
646.6,-1.4726180528005,-0.576343418757121,-0.270068477789561
646.8,-1.41793913586934,-0.589534641901652,-0.0649665109316508
647,-1.28170389874776,-0.761571766535441,0.102739024957021
647.2,-1.0246724580129,-0.88126742998759,0.209968257745107
647.4,-0.729972789128622,-0.988080860773723,0.30491416533788
647.6,-0.412010142644247,-1.05504310290019,0.387710262139638
647.8,-0.11069483502706,-1.09528720537821,0.399519611199697
648,0.161574413935343,-1.24333942095439,0.198075939019521
648.2,0.328769734064737,-1.28384864489237,0.00704162200291947
648.4,0.418375065485636,-1.31088626543681,-0.270068477789561
648.6,0.57130151049296,-1.33794677416484,-0.354993175665538
648.8,0.849454929987589,-1.41928184191386,-0.379309009710948
649,1.13721661822001,-1.43285930315654,-0.464598011175791
649.2,1.3479500319163,-1.27034175554911,-0.697494815985362
649.4,1.48342709795634,-1.01484573046366,-0.746791195074717
649.6,1.55703168169657,-0.549980045954387,-0.870431255499522
649.8,1.60599332110087,-0.170374752680461,-0.895236324469249
650,1.59376149431864,-0.0276831404368085,-0.783824276129405
650.2,1.54477887407939,0.114298938115438,-0.796173404852549
650.4,1.4219303633372,0.165758250554402,-0.796173404852549
650.6,1.31087880388896,0.536073802312215,-0.90764458100001
650.8,1.14965634600321,0.561434863408406,-0.932476352850596
651,0.937362721125284,0.561434863408406,-0.820907901922862
651.2,0.710735371271769,0.662657855351766,-0.783824276129405
651.4,0.533157398859659,0.497985003789266,-0.636004757086436
651.6,0.367208531061808,0.370663760503133,-0.428011249701182
651.8,0.23886685625712,0.319574473698934,-0.23375542084376
652,0.135761311213175,0.152897952397664,0.0668913610776265
652.2,-0.0456208680470791,-0.014749409357707,0.352266002496084
652.4,-0.254386851628622,0.0111066087086993,0.716241527398427
652.6,-0.451557109196981,0.101423381169637,1.06359927733739
652.8,-0.610307643254599,0.204291461308797,1.30395762999852
653,-0.676727244695028,0.345131038029988,1.49687450011571
653.2,-0.636856028874716,0.42166340192159,1.81142108519872
653.4,-0.544052073796591,0.523381350835164,1.91168849547704
653.6,-0.398845622380575,0.650024531682332,1.84488933165868
653.8,-0.241298625310263,0.637386439641316,2.08895747741063
654,-0.123723933537802,0.650024531682332,2.42885272582372
654.2,-0.0456208680470791,0.713135836919149,2.6564776190122
654.4,-0.00665373547871972,0.650024531682332,2.52666347106298
654.6,-0.0456208680470791,0.637386439641316,2.09999530394872
654.8,-0.0976628754933682,0.650024531682332,1.71074168761571
655,-0.11069483502706,0.58677685101827,1.34948604186376
655.2,-0.123723933537802,0.62474071820577,1.12103812774022
655.4,-0.136760661443075,0.42166340192159,1.14397685607274
655.6,-0.162860820134481,0.332352755864461,1.02908198912938
655.8,-0.188981959660849,0.281193850835164,0.79771487792333
656,-0.202049205144247,0.140042422612508,0.552504230340322
656.2,-0.202049205144247,0.0369435532887774,0.352266002496084
656.4,-0.280596682866415,0.0240250809987383,0.162365604241689
656.6,-0.491163203557333,-0.0018156782786054,-0.185413669745127
656.8,-0.783321330388388,0.0885354264577227,-0.685183834234874
657,-1.09208292706808,0.0111066087086993,-0.932476352850596
657.2,-1.40428728802999,0.0369435532887774,-1.25745899597804
657.4,-1.67401499493917,0.0111066087086993,-1.48480732361476
657.6,-1.85836214764913,0.0756446107228594,-1.81666023651759
657.8,-1.89305681927999,0.152897952397664,-1.99706776062648
658,-1.81216234906515,0.0885354264577227,-2.01000053803126
658.2,-1.62811655743917,-0.014749409357707,-2.24385960022608
658.4,-1.34973711713155,-0.0018156782786054,-2.53245861450831
658.6,-0.997750232060751,0.0369435532887774,-2.78086979309718
658.8,-0.636856028874716,0.0885354264577227,-2.90926868836085
659,-0.241298625310263,0.0240250809987383,-2.94439251343409
659.2,0.109920551935831,0.049846766789754,-2.96783096710841
659.4,0.431152393976847,-0.144378544489543,-2.87419636170069
659.6,0.72337727801005,-0.392296673456828,-2.80416424194972
659.8,0.96242528216044,-0.615933300654094,-2.73432476441065
660,1.16209225908915,-0.761571766535441,-2.55884392182032
660.2,1.32324414507548,-0.761571766535441,-2.24385960022608
660.4,1.4219303633372,-0.774841190973918,-1.81666023651759
660.6,1.44654660479228,-0.788125874201457,-1.44678432861964
660.8,1.40961461321513,-0.788125874201457,-0.90764458100001
661,1.37263303057353,-0.947980763117473,-0.245850872198741
661.2,1.3479500319163,-1.01484573046366,0.340432811578115
661.4,1.26137547747294,-1.02823913256327,0.844155002435048
661.6,1.17452435747782,-1.01484573046366,1.33811061461767
661.8,1.08738904253642,-1.04163730303446,1.75553958495458
662,1.06244664446513,-1.48723018328349,2.09999530394872
662.2,1.0499592329661,-2.0642803923289,2.23206584533056
662.4,1.02497868792216,-2.14764201800029,2.43974177916845
662.6,0.999978115717569,-2.1615589872996,2.57001178344091
662.8,1.03747754351298,-1.87067496935527,2.69959514220556
663,1.08738904253642,-1.2028883711497,2.79633777221044
663.2,1.09985928789775,-0.69527995745341,3.07368342955907
663.4,1.12476926104228,-0.183379055658976,3.2849013098081
663.6,1.12476926104228,0.0369435532887774,3.42121188720067
663.8,1.17452435747782,0.0627499802907305,3.4421164282163
664,1.26137547747294,0.0756446107228594,3.38982265075048
664.2,1.23658948198954,0.0627499802907305,3.15838878234227
664.4,1.08738904253642,0.0627499802907305,2.95673053344091
664.6,0.698092510859171,0.0627499802907305,2.76413409789403
664.8,0.213125279108683,0.0627499802907305,2.46149890502294
665,-0.175916621526083,0.049846766789754,2.13307635863622
665.2,-0.504376361211142,1.60659706433614,1.78908603270849
665.4,-0.783321330388388,2.56686317761739,1.38357226928075
665.6,-1.0381412003835,2.56686317761739,0.936789203484853
665.8,-1.24096579297384,2.55505859692891,0.505524326165517
666,-1.33611864789327,2.40120613416036,0.126604724725087
666.2,-1.55940718396505,2.19870674451192,-0.318562816778819
666.4,-1.81216234906515,2.00674927075704,-0.722131084601084
666.6,-1.99741358502706,1.78920280774434,-1.01958115021388
666.8,-2.137140223821,1.61880981763204,-1.29521591583888
667,-2.20726675732931,1.43507873853048,-1.51018650452296
667.2,-2.28929705365499,1.13858616193136,-1.72690708557765
667.4,-2.33627695782979,0.864024279912313,-1.94539959351222
667.6,-2.32452578290304,0.485277293523152,-2.06179745117823
667.8,-2.27756209119161,0.191450236638387,-2.15267021576564
668,-2.19556994183858,0.140042422612508,-2.19170982758204
668.2,-2.03227991803487,0.127174495061238,-2.21777470032374
668.4,-1.84680170758565,0.101423381169637,-2.08772880951564
668.6,-1.61665148480733,-1.44644439379374,-2.12667591492335
668.8,-1.40428728802999,-2.51158511797587,-2.33535034577052
669,-1.17319102032979,-3.02291953722636,-2.26996738831202
669.2,-0.943986842473349,-3.18090808550517,-2.17869121948878
669.4,-0.676727244695028,-3.29632747332255,-2.16568024079005
669.6,-0.346223780949911,-3.41218841234843,-2.11368400971095
669.8,0.0711155440012607,-3.5576361433665,-2.10070450226466
670,0.533157398859659,-3.45574653307597,-1.93249447266261
670.2,1.01247792498271,-3.31078612963359,-1.85521156708399
670.4,1.4711361433665,-3.19530761400859,-1.89382965485255
670.6,1.95827679888407,-3.08027351061503,-1.77816040436427
670.8,2.43660550371806,-2.73777091662089,-1.13199074188868
671,2.81309132830302,-2.62447059313456,-0.771474193731944
671.2,3.14963917986552,-1.69203460375468,-0.489014934698741
671.4,3.45908742205302,-1.24333942095439,-0.379309009710948
671.6,3.76486020342509,-0.814710499445598,0.0668913610776265
671.8,3.91078763262431,-0.615933300654094,0.209968257745107
672,3.76486020342509,-0.497323872248332,0.186180759270986
672.2,3.48186307207743,-0.444761158625285,0.820947337945302
672.4,3.13810353533427,-0.0406254545847577,1.93391864379247
672.6,2.76632313982646,1.26250469525655,2.38525645812352
672.8,2.40102963701884,1.55770027478536,2.8713156469663
673,1.98239903704325,1.72846519788106,3.16895740111669
673.2,1.52025418535868,1.82557976086934,3.29541270812352
673.4,1.02497868792216,1.92235100110372,3.40029018004735
673.6,0.584009220759073,2.03082191785177,3.03121821959813
673.8,0.303113987604776,2.03082191785177,2.5916582830747
674,0.148668339411417,2.05486404736837,2.29783122618993
674.2,-0.11069483502706,2.16281616528829,1.96722285827001
674.4,-0.703338572820028,2.18675148328145,1.69953601439794
674.6,-1.2952966187795,2.23454964001973,1.54205005248388
674.8,-1.743003794988,2.25842201550802,1.34948604186376
675,-2.02065462811788,2.36557876904805,1.00603835662206
675.2,-2.16049570782979,2.44863998730977,0.79771487792333
675.4,-2.17218107922872,2.17478668530782,0.564231563409169
675.6,-2.07883829816183,1.91027176221212,0.458466220696767
675.8,-1.9509829972585,1.65540993054708,0.257487941582998
676,-1.82370562299093,1.4841929658254,-0.0289347879091899
676.2,-1.743003794988,1.34892570813497,-0.257957767645518
676.4,-1.71999163373311,1.06397259076436,-0.525684665838877
676.6,-1.75451655133565,0.864024279912313,-0.845657657782237
676.8,-1.81216234906515,0.62474071820577,-1.20720417420069
677,-1.80062288983663,0.40892040570577,-1.51018650452296
677.2,-1.75451655133565,-0.0535753981272382,-1.66298324982325
677.4,-1.70848841412862,-0.405405880610148,-1.77816040436427
677.6,-1.65106005414327,-0.788125874201457,-1.86807758728663
677.8,-1.54796976788839,-1.10871684710185,-1.90671188751856
678,-1.41793913586934,-1.43285930315654,-1.82950336853663
678.2,-1.1867351029714,-1.58262622515361,-1.76533729950587
678.4,-0.890328357060751,-1.7194432036082,-1.85521156708399
678.6,-0.583785960515341,-1.7880934492747,-1.79098732391993
678.8,-0.333086917241415,-1.7880934492747,-1.51018650452296
679,-0.123723933537802,-1.89825809160868,-1.34564335266749
679.2,0.0192957426706943,-1.95349490801493,-1.10697109619776
679.4,0.148668339411417,-1.96732223192851,-0.771474193731944
679.6,0.303113987604776,-1.96732223192851,-0.501231502691905
679.8,0.507688572565714,-1.96732223192851,-0.245850872198741
680,0.761263897577921,-1.95349490801493,-0.113077472845713
680.2,1.01247792498271,-2.56797492663066,-0.0169413797060649
680.4,1.2985115553538,-2.85151088396708,0.114673305352529
680.6,1.67926221148173,-2.78036964098612,0.209968257745107
680.8,2.04261594072978,-2.53976810137431,0.233743358453115
681,2.30592923418681,-2.13373363176982,0.233743358453115
681.2,2.41289334551493,-1.89825809160868,0.209968257745107
681.4,2.41289334551493,-1.87067496935527,0.174273181756337
681.6,2.25824933306376,-1.87067496935527,0.114673305352529
681.8,2.07867627398173,-1.87067496935527,0.186180759270986
682,1.97034268633525,-1.8293589369456,0.30491416533788
682.2,1.88577084795634,0.127174495061238,0.411317516167959
682.4,1.82519727007548,0.851484416325887,0.37590091307958
682.6,1.69145398394267,0.98915493329366,0.316762615044912
682.8,1.48342709795634,2.16281616528829,0.446687389214834
683,1.1869507338206,2.5786582215627,0.505524326165517
683.2,0.786488583246866,2.8951922639211,0.692911792596181
683.4,0.380010655085245,3.06947052319845,0.913658786614736
683.6,0.0192957426706943,3.20809089978536,1.10956161101659
683.8,-0.306829402287802,3.06947052319845,1.34948604186376
684,-0.530821750005087,2.76667320569356,1.36085383971532
684.2,-0.676727244695028,2.66107666333516,1.38357226928075
684.4,-0.729972789128622,2.49598991711934,1.33811061461767
684.6,-0.703338572820028,2.22260963757833,1.04059379180272
684.8,-0.636856028874716,1.92235100110372,1.0175616033872
685,-0.544052073796591,1.71630394299825,0.994510341485341
685.2,-0.464755961736044,1.55770027478536,0.890513110955556
685.4,-0.412010142644247,1.34892570813497,0.809337306817373
685.6,-0.425188014348349,1.22539055188497,0.704577136834462
685.8,-0.438369700749716,1.15100204785665,0.727894473870595
686,-0.425188014348349,0.864024279912313,0.540765453179677
686.2,-0.398845622380575,0.548754809697469,0.221863437493642
